,cosine_to_orig,embeddings_rank,from_clipping,from_original_token,from_split,norms_seen,spellcheck_rank,in_lexicon,length,same_order,orig_norms_seen,orig_in_lexicon,orig_same_order,orig_length,correct,raw_tok_index
breh,0.8810237050056458,6.0,,,,,,,4,,,,1.0,4.0,,0_0
bro,0.873461902141571,7.0,,,,,,,3,,,,1.0,4.0,,0_0
brother,0.4443516731262207,,,,,26.0,,1.0,7,,,,1.0,4.0,1.0,0_0
bruh,1.0,,,1.0,,,,,4,1.0,,,1.0,4.0,,0_0
bruhhh,0.8879140615463257,3.0,,,,,,,6,1.0,,,1.0,4.0,,0_0
bruhhhh,0.88259357213974,5.0,,,,,,,7,1.0,,,1.0,4.0,,0_0
brunch,0.26513978838920593,,,,,,1.0,1.0,6,1.0,,,1.0,4.0,,0_0
brush,0.24400120973587036,,,,,,0.0,1.0,5,1.0,,,1.0,4.0,,0_0
brutish,0.16324621438980103,,,,,,2.0,1.0,7,1.0,,,1.0,4.0,,0_0
dawg,0.9105991721153259,0.0,,,,,,,4,,,,1.0,4.0,,0_0
lmaooo,0.8898497223854065,1.0,,,,,,,6,,,,1.0,4.0,,0_0
lmaoooo,0.88824063539505,2.0,,,,,,,7,,,,1.0,4.0,,0_0
lmaooooo,0.8825984001159668,4.0,,,,,,,8,,,,1.0,4.0,,0_0
lmaoooooo,0.8717398047447205,8.0,,,,,,,9,,,,1.0,4.0,,0_0
omm,0.8700017333030701,9.0,,,,,,,3,,,,1.0,4.0,,0_0
bet,0.4584544599056244,,,,,,15.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
find,0.6811124682426453,5.0,,,,,,1.0,4,,60.0,1.0,1.0,3.0,,0_1
gee,0.20826339721679688,,,,,,3.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gel,0.2803160548210144,,,,,,9.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gem,0.30663520097732544,,,,,,12.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gen,0.236195370554924,,,,,,6.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gent,0.19214428961277008,,,,,,2.0,1.0,4,1.0,60.0,1.0,1.0,3.0,,0_1
get,1.0,,1.0,1.0,,60.0,16.0,1.0,3,1.0,60.0,1.0,1.0,3.0,1.0,0_1
getaway,0.24593229591846466,,1.0,,,,,1.0,7,1.0,60.0,1.0,1.0,3.0,,0_1
getaway's,,,1.0,,,,,1.0,9,1.0,60.0,1.0,1.0,3.0,,0_1
getaways,0.17539870738983154,,1.0,,,,,1.0,8,1.0,60.0,1.0,1.0,3.0,,0_1
gethsemane,0.20353642106056213,,1.0,,,,,1.0,10,1.0,60.0,1.0,1.0,3.0,,0_1
gethsemane's,,,1.0,,,,,1.0,12,1.0,60.0,1.0,1.0,3.0,,0_1
gets,0.7086805105209351,2.0,1.0,,,,1.0,1.0,4,1.0,60.0,1.0,1.0,3.0,,0_1
getting,0.7396189570426941,0.0,1.0,,,,,1.0,7,1.0,60.0,1.0,1.0,3.0,,0_1
getty,0.27612000703811646,,1.0,,,,,1.0,5,1.0,60.0,1.0,1.0,3.0,,0_1
getty's,0.3862890899181366,,1.0,,,,,1.0,7,1.0,60.0,1.0,1.0,3.0,,0_1
gettysburg,0.30502960085868835,,1.0,,,,,1.0,10,1.0,60.0,1.0,1.0,3.0,,0_1
gettysburg's,,,1.0,,,,,1.0,12,1.0,60.0,1.0,1.0,3.0,,0_1
getup,0.2567262351512909,,1.0,,,,,1.0,5,1.0,60.0,1.0,1.0,3.0,,0_1
getup's,,,1.0,,,,,1.0,7,1.0,60.0,1.0,1.0,3.0,,0_1
git,0.48401302099227905,,,,,,5.0,,3,,60.0,1.0,1.0,3.0,,0_1
go,0.6833751797676086,4.0,,,,,,1.0,2,,60.0,1.0,1.0,3.0,,0_1
got,0.723958432674408,1.0,,,,,8.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gt,0.37842801213264465,,,,,,0.0,,2,,60.0,1.0,1.0,3.0,,0_1
gut,0.372101366519928,,,,,,11.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
gwt,0.7001420855522156,3.0,,,,,,,3,,60.0,1.0,1.0,3.0,,0_1
jet,0.2173202782869339,,,,,,17.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
let,0.5371276140213013,,,,,,10.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
met,0.30209651589393616,,,,,,13.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
net,0.25170356035232544,,,,,,7.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
pet,0.29781028628349304,,,,,,14.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
set,0.45494818687438965,,,,,,4.0,1.0,3,,60.0,1.0,1.0,3.0,,0_1
bout,0.3361155092716217,,,,,,9.0,1.0,4,1.0,69.0,1.0,1.0,3.0,,0_2
cut,0.33696287870407104,,,,,,14.0,1.0,3,,69.0,1.0,1.0,3.0,,0_2
gout,0.27151575684547424,,,,,,7.0,1.0,4,1.0,69.0,1.0,1.0,3.0,,0_2
gut,0.3201332986354828,,,,,,15.0,1.0,3,,69.0,1.0,1.0,3.0,,0_2
lout,0.37411192059516907,,,,,,6.0,1.0,4,1.0,69.0,1.0,1.0,3.0,,0_2
nut,0.4337315857410431,,,,,,11.0,1.0,3,,69.0,1.0,1.0,3.0,,0_2
oat,0.307076096534729,,,,,,10.0,1.0,3,,69.0,1.0,1.0,3.0,,0_2
ought,0.29054421186447144,,,,,,17.0,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
our,0.4878047704696655,,,,,,1.0,1.0,3,,69.0,1.0,1.0,3.0,,0_2
oust,0.37359172105789185,,,,,,2.0,1.0,4,1.0,69.0,1.0,1.0,3.0,,0_2
out,0.9999999403953552,,1.0,1.0,,69.0,16.0,1.0,3,1.0,69.0,1.0,1.0,3.0,1.0,0_2
out's,0.39094576239585876,,1.0,,,,,1.0,5,1.0,69.0,1.0,1.0,3.0,,0_2
outage,0.20559002459049225,,1.0,,,,,1.0,6,1.0,69.0,1.0,1.0,3.0,,0_2
outage's,,,1.0,,,,,1.0,8,1.0,69.0,1.0,1.0,3.0,,0_2
